"2110,\"Dark Messiah Multiplayer Open Beta\",\"unknown\""
"2114,\"Dark Messiah of Might & Magic Multi-Player\",\"unknown\""
"2115,\"Dark Messiah of Might & Magic Single Player\",\"unknown\""
"2120,\"Dark Messiah of Might & Magic Singleplayer Demo\",\"unknown\""
"2130,\"Dark Messiah of Might & Magic Multi-Player\",\"unknown\""
"2145,\"Dark Messiah of Might & Magic Dedicated Server\",\"unknown\""
"2150,\"Dark Messiah SDK Beta\",\"unknown\""
"2200,\"Quake III Arena\",\"unknown\""
"2210,\"Quake 4\",\"unknown\""
"2270,\"Wolfenstein 3D\",\"unknown\""
"2280,\"The Ultimate DOOM\",\"unknown\""
"2290,\"Final DOOM\",\"unknown\""
"2300,\"DOOM II: Hell on Earth\",\"unknown\""
"2310,\"Quake\",\"unknown\""
"2320,\"Quake II\",\"unknown\""
"2330,\"Quake II: The Reckoning\",\"unknown\""
"2340,\"Quake II: Ground Zero\",\"unknown\""
"2350,\"Quake III: Team Arena\",\"unknown\""
"2360,\"HeXen: Beyond Heretic\",\"unknown\""
"2370,\"HeXen: Deathkings of the Dark Citadel\",\"unknown\""
"2390,\"Heretic: Shadow of the Serpent Riders\",\"unknown\""
"2400,\"The Ship\",\"unknown\""
"2403,\"The Ship Dedicated Server\",\"unknown\""
"2410,\"The Ship Beta\",\"unknown\""
"2413,\"The Ship Dedicated Server Beta\",\"unknown\""
"2420,\"The Ship Single Player\",\"unknown\""
"2430,\"The Ship Tutorial\",\"unknown\""
"2450,\"Bloody Good Time\",\"unknown\""
"2460,\"Bloody Good Time Dedicated Server\",\"unknown\""
"2500,\"Shadowgrounds\",\"unknown\""
"2505,\"Shadowgrounds Editor\",\"unknown\""
"2510,\"Shadowgrounds Demo\",\"unknown\""
"2520,\"Gumboy: Crazy Adventures\",\"unknown\""
"2525,\"Gumboy Crazy Features\",\"unknown\""
"2530,\"Gumboy Demo\",\"unknown\""
"2535,\"Gumboy Demo\",\"unknown\""
"2540,\"RIP\",\"unknown\""
"2545,\"RIP 2: Strike Back\",\"unknown\""
"2550,\"RIP 3: The Last Hero\",\"unknown\""
"2560,\"RIP 3 - The Last Hero Demo\",\"unknown\""
"2570,\"Vigil: Blood Bitterness\",\"unknown\""
"2580,\"Vigil: Blood Bitterness Demo\",\"unknown\""
"2590,\"Alpha Prime\",\"unknown\""
"2600,\"Vampire: The Masquerade - Bloodlines\",\"unknown\""
"2610,\"GUN\",\"unknown\""
"2620,\"Call of Duty\",\"unknown\""
"2625,\"Call of Duty Singleplayer\",\"unknown\""
"2630,\"Call of Duty 2\",\"unknown\""
"2635,\"Call of Duty 2 Singleplayer\",\"unknown\""
"2640,\"Call of Duty: United Offensive\",\"unknown\""
"2645,\"Call of Duty: United Offensive Singleplayer\",\"unknown\""
"2680,\"The History Channel: Civil War\",\"unknown\""
"2690,\"Empires: Dawn of the Modern World\",\"unknown\""
"2700,\"RollerCoaster Tycoon 3: Platinum!\",\"unknown\""
"2710,\"Act of War: Direct Action\",\"unknown\""
"2720,\"ThreadSpace: Hyperbol\",\"unknown\""
"2724,\"ThreadSpace: Hyperbol (dont use)\",\"unknown\""
"2725,\"ThreadSpace: Hyperbol Map Editor\",\"unknown\""
"2726,\"ThreadSpace: Hyperbol Soundtrack\",\"unknown\""
"2730,\"ThreadSpace: Hyperbol Demo\",\"unknown\""
"2740,\"ThreadSpace: Hyperbol dedicated server\",\"unknown\""
"2760,\"Neverwinter Nights 2: Platinum\",\"unknown\""
"2767,\"Neverwinter Nights 2 Expansion 1\",\"unknown\""
"2768,\"Neverwinter Nights 2 Expansion 2\",\"unknown\""
"2770,\"Neverwinter Nights 2: Platinum - Map Editor\",\"unknown\""
"2780,\"Arma: Combat Operations\",\"unknown\""
"2790,\"Atari: 80 Classic Games in One!\",\"unknown\""
"2800,\"X2: The Threat\",\"unknown\""
